Project,Authors
Diffusion Jockey: Pre-trained Image Models for Controlled Audio Generation,"Varun Shenoy, Ben Auslin, Suppakit Waiwitlikhit"
A healthcare agent (for low resource settings),Shreyas Lakhtakia
Caption Conditional Pokémon Generation,"Tony Sun, Channing Lee"
EEG-to-Image: toward a more practical model,"Divija Hasteer, Prathik Rao, Adrien Specht"
Generating High-Quality Brand Logos using Stable Diffusion,"Megan Dass, Pete Rushton, Myra Deng"
Automating Code Review With Few-Shot In-Context Learning,Yipeng Liu
Artist-Specific Finetuning for Generative Music,"Michael Xue, Edward Diller"
Modeling an Inhospitable World: Forecasting climate change impacts on land use & cover using variational autoencoders,"Shayana Venukanthan, Divya Nagaraj"
Traditional meets artificial: tile-based synthesis of scratchboard art using Stable Diffusion,Miranda Li
Image Segmentation and Deep Generative In-painting,"Ehsan Shahrian, Jaisal Kothari, Kelvin Christian"
Customized Doggie Portrait,Liuxiao Zhang
Generating Galaxies for Strong Lens Simulations,Sydney Erickson
Stable Diffusion Personalization,Wen Xu
VirtuVogue: AI-Generated Garment & Virtual Try-On using Diffusion Models,Keyuan Wu
Copyright Protection for Generative AI and Large Language Models,Wei-Ning Chen
2D Game Asset Creation Using Stable Diffusion,Zhouhua Xie
Few-Shot Video Generation with Recurrent Motion Prediction using Pre-trained Image Diffusion Models,"Ryan Li, Churan He, Yingying Chen"
"Asset Price Forecasting with Deep Generative Models: Predicting Daily Highs, Lows, and Closes for Targeted Trading Strategies","Flor Lozano-Byrne, Masamine Someha, Dhruv Aggarwal"
Learning Representations of NBA Player Performances Using Variational Autoencoder,Jacob Deutsch
Towards Personalized Music Generation via Deep Reinforcement Learning,Giancarlo Ricci
Fast Personal Stable Diffusion,Nick Mecklenburg
NeRFBusters in the Stanford Wild,Timothy Yao
Generative Diffusion Models for 3D Protein-Binding Molecule Structure,"Yilin Chen, Tianxiang Dai, Shuo Harper Hua"
Direcet Preference Optimization for Diffusion Models,Meihua Dang
Increasing the Resolution of Low-Fidelity Physics Simulations Using Stable Diffusion Models,"Ali Lasemi, Marie-Jo Azzi, Joshua Barnett"
Fusion video game characters,Gautham Dixit
Generative Models for Synthetically Viable Materials,Khalid El-Awady
Removing adverse weather impacts from autonomous vehicle camera systems with generative techniques,"Chunming Peng, Yun Kun Zhang, Jason Alexander Chan"
StartGAN: Analyzing the Impact of Discriminator Pre-Training on Final Generator Performance,"Sri Jaladi, Andy Liang, Abhinav Sinha"
SceneStitch: Garment Try-On in a World of Changing Horizons,"Zhengjia Huang,Li Tian,Jing Gong"
Project Milestone: Detecting the Shapes in a Slide from an Image using a Multimodal Generative Model,"Hashem Elezabi, Ahmed Sharaf"
ACT + Diffusion Policy,"Yihe Tang, Max Sobol Mark, Avidesh F Marajh"
Textual Inversion for 3D Generative Models,Virginia Adams
Customizing and Enhancing Stable Diffusion for Style LoRA and Subject-Specific Generation,Katherine Chen
ADISS: Ad-Hoc Indoor Scene Synthesis with 3D Reconstructed Objects,"Mofan Zhang, Martin JJ. Bucher, Shuojia Fu"
Employing Deep Generative Models in Drug Discovery and Modeling Single-Cell Responses,"Denis Tolkunov, Billur Engin, Chi Wai Lau"
Unconditional Discrete Diffusion Model for 3D Building Generation,Alberto Tono
Generative model of the joint distribution of protein sequence and structure for protein design,"Jinho Kim,Tianyu Lu,Talal Wadatalla"
3D-aware Instruction-guided 3D Editing,"Mingjian Jiang, Xinyi Zhao, Zheng Wang"
The Platonian 'Form' in Variational Autoencoders: Dissecting Latent Space Properties,"Junyang Sun, Bi Tian Yuan"
Diffusion-LM for Sentence Embeddings,Maggie Wu
FACETIME: Age-Guided Child Face Generation from Parental Images,"Anirudh Sriram, Shoaib Mohammed"
Generative Machine Learning for Modeling Viscoelasticity in Soft Tissues,Jeremy McCulloch
Video Chapterization Using Generative Reconstruction,Siqi Zuo
BachBot - Bridging Classical Elegance with AI Innovation,"Kyuil Lee, Dezhi Yu, Yongkang Huang"
Zero-shot Image-to-3D Generation Using Diffusion Guidance and GAN,Frank Zhao
Target-aware Molecule Generation via Direct Preference Optimization,Siyi Carrie Gu
Diffusing Across the Spider-Verse,"Anuj Shetty, Huram-Abi Nzia Yotchoum, Daniel Sorvisto"
3D Model Editing via Text Commands,"Fang Shu, Jian Xu, Wai Yam Gordon Tsai"
Stable Diffusion and Beyond: text-to-image-to-video,"Jayadev Rajan, Arihant Jain"
Generative Adversarial Networks in Anomaly Detection: Multivariate Time Series Analysis for Power System,Rafael Carvalho Marques
Customization of Stable Diffusion Models with Different Methods,"Ang Li, Haishan Gao, Tommy Li"
Correcting Human Posture in 2D Images with Stable Diffusion,Will Baxley
Stable Diffusion and Beyond,Xian Wu
Predicting Three-Dimensional RNA Structure with Graph-Based Diffusion Models,Kaya Güvendi
Applying LoRA to Stable Diffusion with Impressionist Landscape Art,Jensen Hwa
Exploring the Noise Space of Latent Diffusion Models,"Medhanie Irgau, Chinmay Lalgudi"
Motion Interpolation via Autoregressive Joint Pose Sampling for Physics-Based Character Control,Michael Piseno
Stable Diffusion with Extension to Text-to-Video Generation,"Yasuhiro Yoshida, Thomas Cheung, Qi Han"
Generating VNG Characters with Pose Control,"Chenyang Dai, Jingwei Ma"
A retraction-map based approach to image generation using Lipschitz contraction operators,"Joshua Kazdan, Rex Shen, Hao Sun"
GPTTT: Teaching LLMs how to play Tic-Tac-Toe,Mehul Arora
Inference-time Soft-Constrained Decoding For Autoregressive Language Models,Atem Aguer
Multimodal Gen-AI for Fundamental Investment Research,"Hai Wang, Ting-Yu Chang"
Search Methods for Image Generation,Adam Klein
Synthetic data to train better spam filters,Kai Wang
